api,operator,direction,latitude,longitude,spudyr
05-107-06185,Barret Resources Corp,Directional,40.270472,-107.428783,1995
05-103-09859,Conoco Inc,Directional,40.18569,-107.960539,1996
05-103-09872,Conoco Inc,Directional,40.20073,-107.906907,1997
05-081-07034,Young Marshall R Oil,Directional,40.291998,-108.078913,2001
05-107-06230,Comet Ridge Inc,Directional,40.438928,-107.087219,2006
05-045-16241,Ursa Operating LLC,Directional,39.539888,-107.692313,2008
05-081-07455,Antler Energy LLC,Directional,40.748847,-107.969878,2008
05-041-06063,Ultra Resources Inc,Directional,38.687496,-104.558937,2010
05-045-20025,Encana Oil & Gas Inc,Directional,39.586086,-108.073183,2010
05-123-31800,Outlaw Operating LTD,Directional,40.87147,-104.60305,2010
05-123-32081,EOG Resources Inc,Directional,40.930956,-104.468181,2010
05-005-07167,Burlington Resources Oil & Gas LP,Directional,39.607989,-104.605955,2011
05-123-33338,Noble Energy Inc,Directional,40.220149,-104.657007,2011
05-081-07463,Gulfport Energy Corp,Directional,40.496244,-107.635928,2012
05-081-07669,Gulfport Energy Corp,Directional,40.49434,-107.57527,2012
05-081-07721,GRMR Oil & Gas LLC,Directional,40.387986,-107.498303,2012
05-081-07731,SWEPI LP,Directional,40.281203,-107.661575,2012
05-107-06243,Southwestern Energy Production,Directional,40.445742,-107.392503,2012
05-123-35214,Noble Energy Inc,Directional,40.59632,-104.47822,2012
05-123-35263,Barret Bill Corp,Directional,40.3577,-104.45126,2012
05-123-35370,Noble Energy Inc,Directional,40.57162,-104.45376,2012
05-123-35663,Bonanza Creek Energy Operating Co LLC,Directional,40.37868,-104.38907,2012
05-123-35735,Barret Bill Corp,Directional,40.33943,-104.41639,2012
05-123-35745,Barret Bill Corp,Directional,40.36849,-104.41316,2012
05-123-35745,Barret Bill Corp,Directional,40.36849,-104.41316,2012
05-123-36052,Whiting Oil & Gas Corp,Directional,40.854122,-103.806436,2012
05-123-36165,Barret Bill Corp,Directional,40.3636,-104.21068,2012
05-005-07200,ConocoPhillips,Directional,39.678628,-104.508494,2013
05-081-07756,Peakview Operating LLC,Directional,40.500335,-107.482955,2013
05-081-07756,Peakview Operating LLC,Directional,40.500335,-107.482955,2013
05-081-07766,GRMR Oil & Gas LLC,Directional,40.387931,-107.498039,2013
05-107-06247,SWN Production LLC,Directional,40.442461,-106.972072,2013
05-123-35834,Noble Energy Inc,Directional,40.343904,-104.733725,2013
05-005-07217,Burlington Resources Oil & Gas LP,Directional,39.684606,-104.642128,2014
05-103-12120,WPX Energy Rocky Mountain LLC,Directional,39.842896,-108.420753,2014
05-123-37701,Noble Energy Inc,Directional,40.47506,-104.434016,2014
05-103-09711,XTO Energy Inc,Directional,39.86638,-108.20904,1995
05-123-19010,Noble Energy Inc,Directional,40.35743,-104.61845,1995
05-081-06903,Vessels Oil & Gas,Directional,40.388839,-107.649291,1996
05-123-19014,Basin Exploration,Directional,40.242596,-104.878274,1996
05-123-19349,Kerr-McGee Oil & Gas Onshore LP,Directional,40.20253,-104.92441,1997
05-123-19349,Kerr-McGee Oil & Gas Onshore LP,Directional,40.20253,-104.92441,1997
05-123-19564,Kerr-McGee Oil & Gas Onshore LP,Directional,40.20104,-104.8325,1998
05-123-19685,Matrix Energy Inc,Directional,40.412289,-104.670166,1998
05-045-07394,Encana Oil & Gas Inc,Directional,39.45592,-107.69269,1999
05-045-07407,Encana Oil & Gas Inc,Directional,39.46611,-107.71261,1999
05-123-19798,Encana Oil & Gas Inc,Directional,40.14713,-104.889915,1999
05-045-07215,Encana Oil & Gas Inc,Directional,39.47021,-107.84359,2000
05-045-07535,Ballard Petroleum,Directional,39.440581,-107.724974,2000
05-123-19955,Kerr-McGee Oil & Gas Onshore LP,Directional,40.17327,-104.82642,2000
05-123-20028,Prima Oil & Gas Inc,Directional,40.361296,-104.566645,2000
05-045-07636,Petroleum Development Corp,Directional,39.540877,-108.117937,2001
05-045-07639,Petroleum Development Corp,Directional,39.54086,-108.11794,2001
05-045-07669,Vanguard Operating LLC,Directional,39.486867,-107.591102,2001
05-045-07690,Encana Oil & Gas Inc,Directional,39.44584,-107.75583,2001
05-045-07772,Caerus Piceance LLC,Directional,39.55161,-108.11539,2001
05-045-07784,Encana Oil & Gas Inc,Directional,39.44948,-107.71043,2001
05-045-07792,Encana Oil & Gas Inc,Directional,39.44846,-107.69735,2001
05-045-07819,AEC Oil & Gas Inc,Directional,39.47053,-107.768856,2001
05-045-07823,Encana Oil & Gas Inc,Directional,39.4483,-107.694,2001
05-045-07878,Vanguard Operating LLC,Directional,39.484818,-107.600067,2001
05-045-07879,Vanguard Operating LLC,Directional,39.48478,-107.600092,2001
05-045-07923,Vanguard Operating LLC,Directional,39.493505,-107.682915,2001
05-045-07924,Vanguard Operating LLC,Directional,39.484748,-107.600134,2001
05-069-06330,Nielson & Associates Inc,Directional,40.901237,-105.007193,2001
05-077-08719,Black Hills Plateau Production LLC,Directional,39.269292,-108.264757,2001
05-077-08720,Black Hills Plateau Production LLC,Directional,39.27102,-108.23719,2001
05-077-08730,Piceance Energy LLC,Directional,39.27175,-107.75379,2001
05-077-08732,Piceance Energy LLC,Directional,39.27271,-107.76662,2001
05-123-20121,Petroleum Development Corp,Directional,40.208555,-104.993727,2001
05-123-20289,Kerr-McGee Oil & Gas Onshore LP,Directional,40.19996,-104.98757,2001
05-123-20680,Kerr-McGee Rocky Mountain Corp,Directional,40.350284,-104.899915,2001
05-045-07864,Encana Oil & Gas Inc,Directional,39.48463,-107.71661,2002
05-045-07896,Encana Oil & Gas Inc,Directional,39.46283,-107.70246,2002
05-045-07977,Encana Oil & Gas Inc,Directional,39.45185,-107.68289,2002
05-045-08000,Encana Oil & Gas Inc,Directional,39.45585,-107.69257,2002
05-045-08002,Encana Oil & Gas Inc,Directional,39.45582,-107.69252,2002
05-045-08026,Encana Oil & Gas Inc,Directional,39.46475,-107.68627,2002
05-045-08071,Encana Oil & Gas Inc,Directional,39.48593,-107.68921,2002
05-045-09001,WPX Energy Rocky Mountain LLC,Directional,39.490326,-107.97248,2002
05-077-08746,Piceance Energy LLC,Directional,39.27271,-107.76676,2002
05-077-08754,Piceance Energy LLC,Directional,39.27165,-107.75378,2002
05-103-10237,Koch Exploration,Directional,40.156256,-108.189614,2002
05-123-20823,Encana Oil & Gas Inc,Directional,40.134253,-104.920473,2002
05-123-21138,Encana Oil & Gas Inc,Directional,40.1549,-104.930633,2002
05-123-21166,Encana Oil & Gas Inc,Directional,40.154851,-104.930584,2002
05-045-08005,Vanguard Operating LLC,Directional,39.506815,-107.599344,2003
05-045-08949,Encana Oil & Gas Inc,Directional,39.46651,-107.75605,2003
05-045-08997,Caerus Piceance LLC,Directional,39.539,-108.13842,2003
05-045-09158,Encana Oil & Gas Inc,Directional,39.48861,-107.74207,2003
05-045-09191,Vanguard Operating LLC,Directional,39.485858,-107.622261,2003
05-045-09203,Encana Oil & Gas Inc,Directional,39.42286,-107.72189,2003
05-045-09221,Vanguard Operating LLC,Directional,39.500615,-107.588833,2003
05-045-09243,Vanguard Operating LLC,Directional,39.49701,-107.597209,2003
05-045-09259,Vanguard Operating LLC,Directional,39.493018,-107.603703,2003
05-045-09261,Encana Oil & Gas Inc,Directional,39.42229,-107.78219,2003
05-045-09301,Encana Oil & Gas Inc,Directional,39.47437,-107.783516,2003
05-103-10252,Koch Exploration,Directional,40.099168,-108.216515,2003
05-123-20999,Encana Oil & Gas Inc,Directional,40.155353,-104.939206,2003
05-123-21257,Encana Oil & Gas Inc,Directional,40.15554,-104.939186,2003
05-123-21258,Encana Oil & Gas Inc,Directional,40.155271,-104.939177,2003
05-123-21414,PDC Energy Inc,Directional,40.001667,-104.851111,2003
05-123-21442,Encana Oil & Gas Inc,Directional,40.242464,-104.695429,2003
05-123-21448,Encana Oil & Gas Inc,Directional,40.242464,-104.695365,2003
05-123-21553,Kerr-McGee Rocky Mountain Corp,Directional,40.23393,-104.88673,2003
05-045-09225,Encana Oil & Gas Inc,Directional,39.439211,-107.811967,2004
05-045-09405,Encana Oil & Gas Inc,Directional,39.4865,-107.67919,2004
05-045-09433,Caerus Piceance LLC,Directional,39.53292,-108.16331,2004
05-045-09463,Encana Oil & Gas Inc,Directional,39.46929,-107.64662,2004
05-045-09514,Encana Oil & Gas Inc,Directional,39.49846,-107.73703,2004
05-045-09529,Caerus Piceance LLC,Directional,39.51983,-108.13328,2004
05-045-09540,Vanguard Operating LLC,Directional,39.493083,-107.60361,2004
05-045-09548,Encana Oil & Gas Inc,Directional,39.39212,-108.05877,2004
05-045-09820,Encana Oil & Gas Inc,Directional,39.44478,-107.75459,2004
05-045-09848,Encana Energy Resources Inc,Directional,39.48702,-107.764726,2004
05-045-09849,Encana Oil & Gas Inc,Directional,39.48716,-107.76503,2004
05-045-10078,Encana Oil & Gas Inc,Directional,39.555557,-108.114507,2004
05-045-10110,Encana Oil & Gas Inc,Directional,39.604531,-108.103244,2004
05-045-10142,Encana Oil & Gas Inc,Directional,39.38799,-107.74808,2004
05-045-10185,OXY USA WTP LP,Directional,39.54975,-108.21876,2004
05-045-10188,Williams Production Company,Directional,39.492909,-108.014374,2004
05-045-13389,Encana Oil & Gas Inc,Directional,39.45013,-107.76593,2004
05-103-10195,XTO Energy Inc,Directional,39.83739,-108.06339,2004
05-103-10416,XTO Energy Inc,Directional,39.88572,-108.23827,2004
05-103-10417,XTO Energy Inc,Directional,39.88574,-108.23818,2004
05-103-10441,XTO Energy Inc,Directional,39.8849,-108.22245,2004
05-103-10457,XTO Energy Inc,Directional,39.88485,-108.22253,2004
05-103-10514,Exxon Mobil Corp,Directional,39.882812,-108.292366,2004
05-123-20377,Kerr-McGee Oil & Gas Onshore LP,Directional,40.016603,-104.956494,2004
05-123-20821,Barret Bill Corp,Directional,40.34731,-104.43109,2004
05-123-21762,Peterson Energy Management,Directional,40.247259,-104.160231,2004
05-123-22046,Encana Energy Resources Inc,Directional,40.111147,-104.973035,2004
05-123-22089,PDC Energy Inc,Directional,40.43656,-104.60242,2004
05-123-22169,Noble Energy Inc,Directional,40.286647,-104.615767,2004
05-123-22248,Noble Energy Inc,Directional,40.36178,-104.65241,2004
05-045-10331,Caerus Piceance LLC,Directional,39.48372,-108.14589,2005
05-045-10343,Vanguard Operating LLC,Directional,39.493702,-107.590786,2005
05-045-10571,WPX Energy Rocky Mountain LLC,Directional,39.510189,-107.937616,2005
05-045-10605,Encana Oil & Gas Inc,Directional,39.621555,-108.149047,2005
05-045-10606,Encana Oil & Gas Inc,Directional,39.621666,-108.149112,2005
05-045-10618,WPX Energy Rocky Mountain LLC,Directional,39.528854,-107.934795,2005
05-045-10655,WPX Energy Rocky Mountain LLC,Directional,39.505378,-108.125263,2005
05-045-10659,WPX Energy Rocky Mountain LLC,Directional,39.578506,-108.238581,2005
05-045-10681,Vanguard Operating LLC,Directional,39.51452,-107.685385,2005
05-045-10746,Encana Oil & Gas Inc,Directional,39.598039,-108.137595,2005
05-045-10755,Presco Inc,Directional,39.402473,-107.974672,2005
05-045-10779,Encana Oil & Gas Inc,Directional,39.62149,-108.149007,2005
05-045-10780,Encana Oil & Gas Inc,Directional,39.621627,-108.149091,2005
05-045-10911,Encana Oil & Gas Inc,Directional,39.45269,-107.87104,2005
05-045-10936,Encana Oil & Gas Inc,Directional,39.412302,-107.700593,2005
05-045-10954,Laramie Energy LLC,Directional,39.490492,-107.487518,2005
05-045-11063,Encana Oil & Gas Inc,Directional,39.4054,-107.99982,2005
05-045-11065,Encana Oil & Gas Inc,Directional,39.40542,-107.99992,2005
05-045-11161,Piceance Gas Resources LLC,Directional,39.540249,-108.140407,2005
05-045-11167,OXY USA WTP LP,Directional,39.43064,-108.16128,2005
05-045-11225,Encana Oil & Gas Inc,Directional,39.39675,-107.73536,2005
05-045-11303,Caerus Piceance LLC,Directional,39.381666,-108.026372,2005
05-045-11392,Encana Oil & Gas Inc,Directional,39.469161,-107.725267,2005
05-045-11448,Encana Oil & Gas Inc,Directional,39.396252,-107.706723,2005
05-045-13428,Encana Oil & Gas Inc,Directional,39.45039,-107.67066,2005
05-045-13434,Encana Oil & Gas Inc,Directional,39.50599,-107.735855,2005
05-045-13436,Encana Oil & Gas Inc,Directional,39.50593,-107.735965,2005
05-045-13437,Encana Oil & Gas Inc,Directional,39.506304,-107.736257,2005
05-045-13513,Encana Oil & Gas Inc,Directional,39.51132,-107.713265,2005
05-077-08829,Encana Oil & Gas Inc,Directional,39.363794,-107.764827,2005
05-077-08979,Encana Oil & Gas Inc,Directional,39.35214,-108.07972,2005
05-103-10199,XTO Energy Inc,Directional,39.89673,-108.19807,2005
05-103-10479,XTO Energy Inc,Directional,39.88483,-108.22258,2005
05-103-10495,Encana Oil & Gas Inc,Directional,39.735264,-108.324945,2005
05-103-10526,XTO Energy Inc,Directional,39.8913,-108.25098,2005
05-103-10527,XTO Energy Inc,Directional,39.89122,-108.25102,2005
05-103-10528,XTO Energy Inc,Directional,39.89118,-108.25103,2005
05-103-10555,XTO Energy Inc,Directional,39.89145,-108.29575,2005
05-103-10556,XTO Energy Inc,Directional,39.89149,-108.29575,2005
05-103-10557,XTO Energy Inc,Directional,39.89153,-108.29575,2005
05-103-10558,XTO Energy Inc,Directional,39.89157,-108.29575,2005
05-103-10559,XTO Energy Inc,Directional,39.89161,-108.29575,2005
05-103-10586,XTO Energy Inc,Directional,39.882822,-108.292567,2005
05-103-10587,XTO Energy Inc,Directional,39.88282,-108.2924,2005
05-103-10588,XTO Energy Inc,Directional,39.89685,-108.24498,2005
05-103-10589,XTO Energy Inc,Directional,39.89681,-108.24501,2005
05-103-10591,XTO Energy Inc,Directional,39.89677,-108.24505,2005
05-103-10593,Exxon Mobil Corp,Directional,39.89671,-108.24512,2005
05-103-10604,XTO Energy Inc,Directional,39.94335,-108.19355,2005
05-103-10607,XTO Energy Inc,Directional,39.94331,-108.19356,2005
05-103-10614,XTO Energy Inc,Directional,39.88282,-108.29245,2005
05-103-10615,XTO Energy Inc,Directional,39.882822,-108.292514,2005
05-123-23203,Patina Oil & Gas Corp,Directional,40.369795,-104.773331,2005
05-013-06516,Encana Oil & Gas Inc,Directional,40.111345,-105.062335,2006
05-045-09076,Linn Operating Inc,Directional,39.586475,-108.213914,2006
05-045-10414,Berry Petroleum,Directional,39.521513,-108.166551,2006
05-045-10414,Berry Petroleum,Directional,39.521513,-108.166551,2006
05-045-10472,Encana Oil & Gas Inc,Directional,39.590651,-108.051356,2006
05-045-10724,Encana Oil & Gas Inc,Directional,39.59065,-108.051247,2006
05-045-11016,Berry Petroleum,Directional,39.5234,-108.176572,2006
05-045-11019,WPX Energy Rocky Mountain LLC,Directional,39.541338,-108.007121,2006
05-045-11052,Encana Oil & Gas Inc,Directional,39.595892,-108.136899,2006
05-045-11066,Encana Oil & Gas Inc,Directional,39.40539,-107.99977,2006
05-045-11168,Vanguard Operating LLC,Directional,39.48877,-107.61062,2006
05-045-11246,Encana Oil & Gas Inc,Directional,39.582732,-108.089255,2006
05-045-11288,Berry Petroleum,Directional,39.610967,-108.03815,2006
05-045-11350,Berry Petroleum,Directional,39.607815,-108.064127,2006
05-045-11404,Linn Operating Inc,Directional,39.586476,-108.21375,2006
05-045-11434,Vanguard Operating LLC,Directional,39.48831,-107.61502,2006
05-045-11435,Vanguard Operating LLC,Directional,39.48828,-107.61491,2006
