file_no,api,operator,depth_ft,spudyr,latitude,longitude,status,direction,state
15675,33-023-00469,Enduro Operating LLC,11350,2005,48.70693225,-102.9348348,Temporarily Abandoned,Horizontal,ND
15660,33-105-01526,Anschutz Exploration Corp,10212,2005,48.22498054,-103.3012333,Dry,Horizontal,ND
16040,33-007-01539,Whiting Oil and Gas Corp,16906,2005,47.09558943,-103.6645425,Active,Horizontal,ND
15677,33-053-02617,Oasis Petroleum LLC,15160,2005,47.78959256,-103.7994427,Active,Horizontal,ND
15752,33-033-00254,Whiting Oil and Gas Corp,17375,2005,47.21089169,-103.7322721,Active,Horizontal,ND
15718,33-053-02625,Oasis Petroleum LLC,14757,2005,47.76003606,-103.6877871,Active,Horizontal,ND
15756,33-053-02633,Oasis Petroleum LLC,15418,2005,47.99359171,-103.5600283,Active,Horizontal,ND
15755,33-023-00472,Petro-Hunt LLC,16525,2005,48.71892199,-102.9254669,Active,Horizontal,ND
15744,33-105-01532,Hess Bakken Investments II LLC,13278,2005,48.31570228,-102.9422298,Plugged,Horizontal,ND
15743,33-053-02631,Oasis Petroleum LLC,15220,2005,47.82013486,-103.6910278,Inactive,Horizontal,ND
15824,33-025-00567,OXY USA Inc,16101,2005,47.1552258,-103.0139173,Active,Horizontal,ND
15622,33-053-02602,Oasis Petroleum LLC,14645,2005,47.78792423,-103.6875787,Inactive,Horizontal,ND
15719,33-105-01530,Oasis Petroleum LLC,14719,2005,48.1827137,-103.9044695,Active,Horizontal,ND
15883,33-053-02666,Oasis Petroleum LLC,14700,2005,47.83723523,-103.7555693,Temporarily Abandoned,Horizontal,ND
15832,33-105-01538,Hess Bakken Investments II LLC,14402,2005,48.22668549,-102.9626732,Active,Horizontal,ND
15732,33-075-01345,Flatirons Resources LLC,10040,2005,48.54540115,-101.7129467,Active,Horizontal,ND
16030,33-105-01551,Whiting Oil and Gas Corp,18441,2005,48.31235957,-103.054091,Active,Horizontal,ND
15931,33-053-02674,Whiting Oil and Gas Corp,15332,2005,47.84770705,-103.7960504,Active,Horizontal,ND
15775,33-033-00256,FH Petroleum Corp,16656,2005,47.13998608,-103.7504891,Active,Horizontal,ND
15762,33-033-00255,BTA Oil Producers LLC,13602,2005,47.14421267,-103.6696572,Active,Horizontal,ND
15763,33-053-02635,Oasis Petroleum LLC,15300,2005,47.74785941,-103.6911207,Active,Horizontal,ND
15780,33-033-00259,Whiting Oil and Gas Corp,17680,2005,47.16643752,-103.7732456,Dry,Horizontal,ND
15986,33-061-00493,Hess Bakken Investments II LLC,16261,2005,48.18138581,-102.6103593,Active,Horizontal,ND
