Year,Wells,State
2005,1124,All
2006,1846,All
2007,3089,All
2008,5266,All
2009,7180,All
2010,10822,All
2011,15476,All
2012,20198,All
2013,25394,All
2014,31481,All
2005,537,co
2006,906,co
2007,1638,co
2008,2756,co
2009,3298,co
2010,4122,co
2011,5186,co
2012,6226,co
2013,7644,co
2014,9436,co
2005,187,nm
2006,314,nm
2007,484,nm
2008,674,nm
2009,817,nm
2010,1133,nm
2011,1525,nm
2012,2073,nm
2013,2727,nm
2014,3624,nm
2005,382,nd
2006,590,nd
2007,848,nd
2008,1405,nd
2009,1857,nd
2010,2896,nd
2011,4287,nd
2012,6117,nd
2013,8036,nd
2014,10068,nd
2005,18,pa
2006,36,pa
2007,119,pa
2008,431,pa
2009,1208,pa
2010,2671,pa
2011,4478,pa
2012,5782,pa
2013,6987,pa
2014,8353,pa
