Age,Wells,State
0,31481,All
1,25394,All
2,20198,All
3,15476,All
4,10822,All
5,7180,All
6,5266,All
7,3089,All
8,1846,All
9,1124,All
10,633,All
11,403,All
12,292,All
13,244,All
14,187,All
15,141,All
16,120,All
17,82,All
18,41,All
19,25,All
0,9436,co
1,7644,co
2,6226,co
3,5186,co
4,4122,co
5,3298,co
6,2756,co
7,1638,co
8,906,co
9,537,co
10,235,co
11,120,co
12,52,co
13,36,co
14,16,co
15,13,co
16,10,co
17,8,co
18,6,co
19,4,co
0,3624,nm
1,2727,nm
2,2073,nm
3,1525,nm
4,1133,nm
5,817,nm
6,674,nm
7,484,nm
8,314,nm
9,187,nm
10,122,nm
11,77,nm
12,55,nm
13,38,nm
14,27,nm
15,16,nm
16,16,nm
17,10,nm
18,5,nm
19,2,nm
0,10068,nd
1,8036,nd
2,6117,nd
3,4287,nd
4,2896,nd
5,1857,nd
6,1405,nd
7,848,nd
8,590,nd
9,382,nd
10,263,nd
11,195,nd
12,178,nd
13,164,nd
14,138,nd
15,106,nd
16,93,nd
17,63,nd
18,29,nd
19,18,nd
0,8353,pa
1,6987,pa
2,5782,pa
3,4478,pa
4,2671,pa
5,1208,pa
6,431,pa
7,119,pa
8,36,pa
9,18,pa
10,13,pa
11,11,pa
12,7,pa
13,6,pa
14,6,pa
15,6,pa
16,1,pa
17,1,pa
18,1,pa
19,1,pa
