api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
30-005-27972,nTO1426757435,2014,2010,4,Horizontal,Yates Petroleum Corp,33.0243073,-103.7675171,Wellhead,NA,Gauge,Equipment Failure,Saltwater,Unknown,252,No,Unknown,NM
30-005-27999,nGRL1126631648,2011,2010,1,Horizontal,Legacy Reservers Operating LP,33.0177841,-103.8170776,Flowline,Leak,Unknown,Unknown,Saltwater,Unknown,1260,No,No,NM
30-005-29033,nLWJ0920843400,2009,2008,1,Horizontal,Cimarex Energy Company,33.032383,-103.7826157,Separator,NA,Unknown,Equipment Failure,Crude Oil,Unknown,2730,No,Yes,NM
30-005-29033,nLWJ1005453183,2009,2008,1,Horizontal,Cimarex Energy Company,33.032383,-103.7826157,Unknown,NA,Unknown,Equipment Failure,Crude Oil,Unknown,2730,No,Yes,NM
30-005-29061,nGRL1010539051,2010,2009,0,Horizontal,Cimarex Energy Company,33.014183,-103.8193741,Tank,Leak,Unknown,Equipment Failure,Hydraulic Fracture Solution,Gelled Brine (Frac Fluid),3360,No,No,NM
30-005-29062,nGRL1026741116,2010,2010,0,Horizontal,Cimarex Energy Company,33.0097733,-103.8193665,Wellhead,Leak,Corrosion,Equipment Failure,Crude Oil,Unknown,630,No,Unknown,NM
30-005-29083,nTO1426827611,2014,2009,6,Horizontal,Yates Petroleum Corp,33.035099,-103.7843475,Tank,Overflow,Line Plugged,Equipment Failure,Crude Oil,Unknown,630,No,Unknown,NM
30-005-64132,nKMW1101934205,2011,2010,0,Horizontal,Devon Energy Production Company,33.30678,-104.08358,Blowout,NA,Well Communication,Human Error,Drilling Waste,Unknown,96600,No,Yes,NM
30-005-64132,nMLB1122137670,2011,2010,0,Horizontal,Devon Energy Production Company,33.30678,-104.08358,Storage Container,Leak,Unknown,Human Error,Hydraulic Fracture Solution,Acid,12600,No,Yes,NM
30-015-33324,nJMW1228440835,2012,2004,8,Horizontal,Vanguard Operating LLC,32.1529045,-103.9530563,Pump,Leak,Nipple,Equipment Failure,Saltwater,Unknown,3864,No,Yes,NM
30-015-33648,nJMW1402934481,2013,2004,9,Horizontal,OXY USA WTP Limited Partnership,32.3859367,-104.448761,Tank,Overflow,Pump,Equipment Failure,Oil & Saltwater,Unknown,2730,No,Yes,NM
30-015-34438,nAB1432342160,2014,2006,8,Horizontal,COG Operating LLC,32.3115883,-103.9951782,Tank,Overflow,Unknown,Unknown,Crude Oil,Unknown,1050,No,Yes,NM
30-015-34438,nJMW1323548346,2013,2006,7,Horizontal,COG Operating LLC,32.3115883,-103.9951782,Pump,NA,Valve,Equipment Failure,Crude Oil,Unknown,1008,No,Yes,NM
30-015-34438,nJMW1324847819,2013,2006,7,Horizontal,COG Operating LLC,32.3115883,-103.9951782,Wellhead,NA,Pumping Tee,Equipment Failure,Saltwater,Unknown,840,No,Yes,NM
30-015-35108,nMLB0903440404,2009,2008,1,Horizontal,Yates Petroleum Corp,32.2531052,-103.9654312,Pit,Leak,Liner,Unknown,Drilling Waste,Unknown,NA,No,Unknown,NM
30-015-35623,nJMW1303829836,2013,2007,6,Horizontal,Vanguard Operating LLC,32.1450615,-103.9691086,Tank,Overflow,Pump,Equipment Failure,Crude Oil,Unknown,1638,No,No,NM
30-015-35742,nMLB1209650453,2012,2008,4,Horizontal,OXY USA Inc,32.2672844,-103.9793549,Tank,Overflow,Unknown,Unknown,Crude Oil,Unknown,1890,No,Unknown,NM
30-015-35804,nMLB1131230023,2011,2010,2,Horizontal,Yates Petroleum Corp,32.6695061,-103.8980026,Tank,Overflow,Unknown,Human Error,Saltwater,Unknown,12390,No,Yes,NM
30-015-35829,nKMW1107536284,2011,2008,3,Horizontal,Lime Rock Resources II-A LP,32.7646332,-104.3008041,Pump,Leak,Unknown,Equipment Failure,Crude Oil,Unknown,1974,No,No,NM
30-015-35829,nMLB1122854480,2011,2008,3,Horizontal,Lime Rock Resources II-A LP,32.7646332,-104.3008041,Transport,NA,Loading/Unloading,Human Error,Crude Oil,Unknown,630,No,No,NM
30-015-35831,nMLB1033435200,2010,2007,3,Horizontal,CHEVRON USA Inc,32.1675797,-104.0676498,Pump,NA,Unknown,Equipment Failure,Crude Oil,Unknown,1680,No,Unknown,NM
30-015-36027,nKMW1111140740,2011,2008,3,Horizontal,Yates Petroleum Corp,32.9445953,-104.0534286,Tank,NA,Froze,Environmental Conditions,Saltwater,Unknown,4200,No,Yes,NM
30-015-36033,nMLB1122348831,2011,2008,3,Horizontal,COG Operating LLC,32.7028923,-103.9994965,Flowline,Leak,Corrosion,Equipment Failure,Saltwater,Unknown,630,No,Yes,NM
30-015-36100,nAB1435032750,2014,2008,7,Horizontal,Cimarex Energy Company,32.9424286,-104.0389709,Tank,NA,Valve,Equipment Failure,Oil & Saltwater,Unknown,3444,No,Yes,NM
30-015-36305,nAB1501440160,2014,2008,6,Horizontal,Yates Petroleum Corp,32.1793976,-104.1375885,Wellhead,NA,Pump,Equipment Failure,Oil & Saltwater,Unknown,210,No,Unknown,NM
30-015-36305,nMLB1122147865,2011,2008,3,Horizontal,Yates Petroleum Corp,32.1793976,-104.1375885,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Unknown,3150,No,Unknown,NM
30-015-36368,nSEB0900630331,2008,2008,0,Horizontal,Yates Petroleum Corp,32.3401108,-103.7802048,Flowline,Leak,Unknown,Equipment Failure,Oil & Saltwater,Unknown,58800,No,No,NM
30-015-36372,nJMW1326036361,2013,2011,2,Horizontal,COG Operating LLC,32.1677322,-104.0935135,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Unknown,3360,No,Yes,NM
30-015-36390,nJMW1331827039,2013,2008,5,Horizontal,Yates Petroleum Corp,32.944046,-104.0534286,Heater Treater,Leak,Gasket,Equipment Failure,Oil & Saltwater,Unknown,294,No,Yes,NM
30-015-36421,nMLB0907950480,2009,2008,0,Horizontal,Yates Petroleum Corp,32.9211693,-104.1898499,Unknown,NA,Valve,Equipment Failure,Crude Oil,Unknown,1176,No,Unknown,NM
30-015-36421,nMLB1030850419,2010,2008,2,Horizontal,Yates Petroleum Corp,32.9211693,-104.1898499,Tank,Leak,Unknown,Unknown,Oil & Saltwater,Unknown,840,No,Yes,NM
30-015-36461,nKMW1109729911,2009,2008,1,Horizontal,Devon Energy Production Company,32.294426,-103.9730835,Flowline,Leak,Unknown,Human Error,Saltwater,Unknown,1260,No,No,NM
30-015-36461,nSEB0830236670,2008,2008,0,Horizontal,Devon Energy Production Company,32.294426,-103.9730835,Flowline,Leak,Unknown,Human Error,Oil & Saltwater,Unknown,882,No,Unknown,NM
30-015-36499,nMLB1122236644,2011,2008,3,Horizontal,Yates Petroleum Corp,32.200264,-104.1506424,Flowline,Leak,Fitting,Equipment Failure,Saltwater,Unknown,4200,No,No,NM
30-015-36535,nMLB1215341006,2012,2008,4,Horizontal,COG Operating LLC,32.1647873,-103.944519,Heater Treater,Leak,Fire,Unknown,Saltwater,Unknown,126,No,Yes,NM
30-015-36559,nJMW1312338061,2013,2009,4,Horizontal,COG Operating LLC,32.1511154,-104.0167618,Stuffing Box,Leak,Packing Failed,Equipment Failure,Oil & Saltwater,Unknown,756,No,Yes,NM
30-015-36635,nJMW1224153124,2012,2008,4,Horizontal,BOPCO LP,32.123951,-103.8959351,Flowline,Leak,Unknown,Equipment Failure,Crude Oil,Unknown,420,No,No,NM
30-015-36722,nMLB1215334891,2012,2009,3,Horizontal,BOPCO LP,32.3426552,-103.8262634,Stuffing Box,NA,Unknown,Equipment Failure,Oil & Saltwater,Unknown,1260,No,No,NM
30-015-36750,nHMP1412225422,2014,2009,5,Horizontal,COG Operating LLC,32.6233292,-103.8154907,Unknown,Leak,Vandalism,Human Error,Crude Oil,Unknown,5250,No,No,NM
30-015-36776,nJMW1229051242,2012,2012,0,Horizontal,COG Operating LLC,32.1200523,-103.961937,Flowline,Leak,Fitting,Equipment Failure,Saltwater,Unknown,840,No,Yes,NM
30-015-36778,nMLB1114038361,2011,2008,2,Horizontal,Yates Petroleum Corp,32.1964722,-103.74646,Tank,Overflow,Unknown,Unknown,Crude Oil,Unknown,5628,No,Yes,NM
