api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
37-005-28706,I_2157183_V_665634,2013,2006,7,Vertical,Campbell Oil & Gas Inc,40.854547,-79.603131,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-005-29498,I_2188766_V_674276,2013,2008,5,Vertical,EXCO Resources PA LLC,40.752849,-79.509748,Tank,Leak,Unknown,Unknown,Saltwater,Produced Water,21,Yes,No,PA
37-005-29610,I_1924718_V_598511,2010,2008,2,Vertical,MDS Energy Dev LLC,40.782821,-79.50492,Unknown,NA,Unknown,Unknown,Drilling Waste,Tophole Water,NA,Yes,No,PA
37-005-30201,I_1835946_V_573560,2009,2009,0,Horizontal,EQT Production Co,40.705878,-79.409259,Unknown,NA,Unknown,Unknown,Saltwater,Produced Water,NA,Yes,Unknown,PA
37-005-30203,I_2144131_V_661982,2013,2009,4,Vertical,Snyder Bros Inc,40.934659,-79.601987,Improperly Stored,NA,On Ground,Human Error,Drilling Waste,Drill Cuttings,NA,Unknown,No,PA
37-005-30453,I_1894829_V_590438,2010,2010,0,Horizontal,EQT Production Co,40.70583,-79.409228,Unknown,NA,Unknown,Unknown,Drilling Waste,Unknown,NA,Unknown,Unknown,PA
37-005-30613,I_1957427_V_607784,2011,2010,1,Horizontal,EXCO Resources PA LLC,40.822885,-79.327485,Flowline,Leak,Production Unit,Equipment Failure,Saltwater,Produced Water,NA,No,Yes,PA
37-005-30613,I_1974143_V_611437,2011,2010,1,Horizontal,EXCO Resources PA LLC,40.822885,-79.327485,Storage Container,Leak,Unknown,Unknown,Chemicals,Methanol,NA,Unknown,Unknown,PA
37-005-30625,I_1885019_V_587174,2010,2010,0,Vertical,MDS Energy Dev LLC,40.779917,-79.542775,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-005-30714,I_1987403_V_615205,2011,2010,1,Horizontal,EXCO Resources PA LLC,40.737075,-79.514817,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Flowback,NA,Yes,No,PA
