api,operator,status,direction,depth_ft,spudyr,latitude,longitude
30-005-27972,Yates Petroleum Corp,Active,Horizontal,8852,2010,33.0243073,-103.7675171
30-005-27975,Legacy Reservers Operating LP,Active,Horizontal,8820,2009,33.0215111,-103.7847595
30-005-27976,Legacy Reservers Operating LP,Active,Horizontal,8766,2010,33.0178757,-103.7864532
30-005-27994,CHEVRON USA Inc,Active,Horizontal,8897,2009,33.0143318,-103.7675095
30-005-27995,Legacy Reservers Operating LP,Active,Horizontal,8774,2009,33.0287094,-103.802002
30-005-27999,Legacy Reservers Operating LP,Active,Horizontal,8802,2010,33.0177841,-103.8170776
30-005-28000,Legacy Reservers Operating LP,Active,Horizontal,8807,2010,33.0241356,-103.8170853
30-005-29019,Cimarex Energy Company of CO,Active,Horizontal,8738,2008,32.9888611,-103.8665695
30-005-29033,Cimarex Energy Company of CO,Active,Horizontal,8900,2008,33.032383,-103.7826157
30-005-29041,Cimarex Energy Company of CO,Active,Horizontal,8851,2010,33.0387917,-103.7998581
30-005-29042,Cimarex Energy Company of CO,Active,Horizontal,8843,2010,33.0432053,-103.7998657
30-005-29043,Cimarex Energy Company of CO,Active,Horizontal,13041,2011,33.0468979,-103.7997208
30-005-29047,Cimarex Energy Company of CO,Active,Horizontal,8724,2010,33.0033264,-103.8685684
30-005-29048,Cimarex Energy Company of CO,Active,Horizontal,13332,2010,33.0177803,-103.8343201
30-005-29049,Legacy Reservers Operating LP,Active,Horizontal,13106,2010,33.0214119,-103.8167572
30-005-29050,Legacy Reservers Operating LP,Active,Horizontal,8782,2011,33.0141869,-103.8167496
30-005-29052,Cimarex Energy Company of CO,Active,Horizontal,13193,2010,32.986187,-103.8537064
30-005-29057,Cimarex Energy Company of CO,Active,Horizontal,13258,2008,33.0323181,-103.7998505
30-005-29061,Cimarex Energy Company of CO,Active,Horizontal,8761,2009,33.014183,-103.8193741
30-005-29062,Cimarex Energy Company of CO,Active,Horizontal,8723,2010,33.0097733,-103.8193665
30-005-29063,Cimarex Energy Company of CO,Active,Horizontal,8724,2009,33.0097771,-103.8366089
30-005-29064,Cimarex Energy Company of CO,Active,Horizontal,8687,2009,33.0141869,-103.8366165
30-005-29065,Cimarex Energy Company of CO,Active,Horizontal,8773,2009,33.0222054,-103.8514328
30-005-29074,Mack Energy Corp,Active,Horizontal,7638,2009,32.982193,-103.9398117
30-005-29077,Cimarex Energy Company of CO,Active,Horizontal,8768,2010,33.0221939,-103.8343201
30-005-29083,Yates Petroleum Corp,Active,Horizontal,8785,2009,33.035099,-103.7843475
