api,operator,status,direction,depth_ft,spudyr,longitude,latitude
37-003-21994,XTO Energy Inc,Active,Vertical,NA,2008,-79.781085,40.657901
37-003-22091,XTO Energy Inc,Active,Horizontal,NA,2009,-79.777621,40.648568
37-003-22092,XTO Energy Inc,Active,Horizontal,NA,2009,-79.777674,40.648704
37-003-22230,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.753756,40.634369
37-003-22231,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.753761,40.634453
37-003-22232,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.753769,40.634536
37-003-22233,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.753625,40.634542
37-003-22278,Range Resources Appalachia LLC,Active,Horizontal,NA,2014,-79.753597,40.634186
37-003-22279,Range Resources Appalachia LLC,Active,Horizontal,NA,2014,-79.753589,40.634103
37-003-22280,Range Resources Appalachia LLC,Active,Horizontal,NA,2014,-79.753697,40.634097
37-003-22293,Range Resources Appalachia LLC,Active,Horizontal,NA,2014,-79.753706,40.634181
37-003-22294,Range Resources Appalachia LLC,Active,Horizontal,NA,2014,-79.805914,40.6721
37-003-22295,Range Resources Appalachia LLC,Active,Horizontal,NA,2014,-79.806019,40.672117
37-003-22247,Range Resources Appalachia LLC,Regulatory Inactive,Horizontal,NA,2013,-80.349361,40.484222
37-003-22281,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.256753,40.462042
37-003-22282,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254803,40.472872
37-003-22287,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.256789,40.461769
37-003-22288,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.256781,40.461822
37-003-22289,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.256775,40.461878
37-003-22290,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.256758,40.461986
37-003-22291,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.256767,40.461933
37-003-22297,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254856,40.472975
37-003-22298,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254803,40.473019
37-003-22299,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254775,40.472969
37-003-22300,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254828,40.472922
37-003-22301,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254747,40.472919
37-003-22302,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254883,40.473025
37-003-22303,CNX Gas Co LLC,Active,Horizontal,NA,2014,-80.254828,40.473072
37-003-22229,EQT Production Co,Active,Horizontal,NA,2013,-79.904617,40.243461
37-003-22234,EQT Production Co,Active,Horizontal,NA,2013,-79.904564,40.243464
37-003-22235,EQT Production Co,Active,Horizontal,NA,2013,-79.904508,40.243464
37-003-22236,EQT Production Co,Active,Horizontal,NA,2013,-79.904456,40.243464
37-003-22237,EQT Production Co,Active,Horizontal,NA,2013,-79.904669,40.243461
37-003-22240,EQT Production Co,Active,Horizontal,NA,2013,-79.9125,40.235833
37-003-22241,EQT Production Co,Active,Horizontal,NA,2013,-79.912447,40.235825
37-003-22242,EQT Production Co,Active,Horizontal,NA,2013,-79.912394,40.235817
37-003-22269,EQT Production Co,Active,Horizontal,NA,2014,-79.912867,40.235892
37-003-22270,EQT Production Co,Active,Horizontal,NA,2014,-79.912814,40.235883
37-003-22271,EQT Production Co,Active,Horizontal,NA,2014,-79.912761,40.235875
37-003-22272,EQT Production Co,Active,Horizontal,NA,2014,-79.912708,40.235867
37-003-22273,EQT Production Co,Active,Horizontal,NA,2014,-79.912658,40.235858
37-003-22274,EQT Production Co,Active,Horizontal,NA,2014,-79.912606,40.23585
37-003-22275,EQT Production Co,Active,Horizontal,NA,2014,-79.912553,40.235842
37-003-22276,EQT Production Co,Active,Horizontal,NA,2014,-79.912342,40.235808
37-003-22277,EQT Production Co,Active,Horizontal,NA,2014,-79.912289,40.2358
37-003-22283,EQT Production Co,Active,Horizontal,NA,2014,-79.904403,40.243467
37-003-22284,EQT Production Co,Active,Horizontal,NA,2014,-79.904347,40.243467
37-003-22285,EQT Production Co,Active,Horizontal,NA,2014,-79.904294,40.243467
37-003-22286,EQT Production Co,Active,Horizontal,NA,2014,-79.904242,40.243469
37-003-22312,EQT Production Co,Active,Horizontal,NA,2014,-79.904186,40.243469
37-003-21982,Range Resources Appalachia LLC,Active,Horizontal,NA,2009,-79.807056,40.572278
37-003-22193,Range Resources Appalachia LLC,Active,Horizontal,NA,2011,-79.806931,40.573081
37-003-22194,Range Resources Appalachia LLC,Active,Horizontal,NA,2011,-79.806839,40.573122
37-003-22195,Range Resources Appalachia LLC,Active,Horizontal,NA,2011,-79.806914,40.573217
37-003-22196,Range Resources Appalachia LLC,Active,Horizontal,NA,2011,-79.807025,40.573036
37-003-22197,Range Resources Appalachia LLC,Active,Horizontal,NA,2011,-79.807097,40.573131
37-003-22203,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.783381,40.6252
37-003-22204,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.783486,40.625194
37-003-22210,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.783478,40.625083
37-003-22211,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.783272,40.625206
37-003-22222,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.786542,40.616081
37-003-22223,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.786625,40.616133
37-003-22224,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.786708,40.616186
37-003-22225,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.78645,40.616164
37-003-22227,Range Resources Appalachia LLC,Active,Horizontal,NA,2012,-79.786617,40.616269
37-005-31196,MDS Energy Dev LLC,Active,Vertical,NA,2014,-79.549475,40.7052
37-005-30081,Snyder Bros Inc,Active,Vertical,NA,2009,-79.44671,40.875043
37-005-30676,Snyder Bros Inc,Active,Vertical,NA,2011,-79.421797,40.888822
37-005-30678,Snyder Bros Inc,Active,Vertical,NA,2012,-79.421103,40.885842
37-005-30823,Snyder Bros Inc,Active,Vertical,NA,2011,-79.4523,40.904594
37-005-30832,Snyder Bros Inc,Active,Vertical,NA,2011,-79.452719,40.87135
37-005-30952,Snyder Bros Inc,Active,Vertical,NA,2012,-79.418181,40.892111
37-005-31093,Snyder Bros Inc,Active,Vertical,NA,2013,-79.451492,40.887942
37-005-31115,Snyder Bros Inc,Active,Vertical,NA,2013,-79.474425,40.889047
37-005-31122,Snyder Bros Inc,Active,Vertical,NA,2013,-79.368794,40.913756
37-005-31099,EQT Production Co,Active,Horizontal,NA,2012,-79.481867,40.698728
37-005-31100,EQT Production Co,Active,Horizontal,NA,2012,-79.481831,40.698756
37-005-30364,EXCO Resources PA LLC,Active,Horizontal,NA,2009,-79.3275,40.822833
37-005-30613,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.327485,40.822885
37-005-28706,Campbell Oil & Gas Inc,Active,Vertical,NA,2006,-79.603131,40.854547
37-005-29684,Snyder Bros Inc,Active,Vertical,NA,2008,-79.509584,40.857196
37-005-29720,MDS Energy Dev LLC,Active,Vertical,NA,2008,-79.580217,40.860439
37-005-30082,Snyder Bros Inc,Active,Vertical,NA,2009,-79.50425,40.858726
37-005-30083,Snyder Bros Inc,Active,Vertical,NA,2009,-79.49852,40.863204
37-005-30150,Snyder Bros Inc,Active,Vertical,NA,2009,-79.580992,40.852463
37-005-30325,Snyder Bros Inc,Active,Vertical,NA,2010,-79.575031,40.812618
37-005-30336,MDS Energy Dev LLC,Active,Vertical,NA,2009,-79.511573,40.891729
37-005-30381,Snyder Bros Inc,Active,Vertical,NA,2010,-79.554152,40.83661
37-005-30389,Snyder Bros Inc,Active,Vertical,NA,2009,-79.538218,40.863035
37-005-30390,Snyder Bros Inc,Active,Vertical,NA,2010,-79.548496,40.867101
37-005-30391,Snyder Bros Inc,Active,Vertical,NA,2010,-79.563194,40.870568
37-005-30392,Snyder Bros Inc,Active,Vertical,NA,2009,-79.521143,40.877626
37-005-30393,Snyder Bros Inc,Active,Vertical,NA,2009,-79.554622,40.859501
37-005-30410,Snyder Bros Inc,Active,Vertical,NA,2009,-79.513248,40.875959
37-005-30652,MDS Energy Dev LLC,Active,Vertical,NA,2010,-79.555619,40.882947
37-005-30663,Snyder Bros Inc,Active,Vertical,NA,2011,-79.504658,40.871075
37-005-30672,MDS Energy Dev LLC,Active,Vertical,NA,2010,-79.586428,40.815578
37-005-30743,Snyder Bros Inc,Active,Vertical,NA,2011,-79.574847,40.808761
37-005-30751,Snyder Bros Inc,Active,Vertical,NA,2011,-79.595286,40.880339
37-005-30763,Snyder Bros Inc,Active,Vertical,NA,2011,-79.526444,40.872333
37-005-30770,Snyder Bros Inc,Active,Vertical,NA,2012,-79.526306,40.865339
37-005-30801,Snyder Bros Inc,Active,Vertical,NA,2011,-79.574508,40.862547
37-005-30851,Snyder Bros Inc,Active,Vertical,NA,2012,-79.516817,40.877686
37-005-30861,MDS Energy Dev LLC,Active,Vertical,NA,2011,-79.598642,40.811475
37-005-30887,MDS Energy Dev LLC,Active,Vertical,NA,2011,-79.553778,40.845425
37-005-30899,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.592297,40.8077
37-005-30906,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.554928,40.855058
37-005-30908,MDS Energy Dev LLC,Active,Vertical,NA,2012,-79.539222,40.888622
37-005-30919,Snyder Bros Inc,Active,Vertical,NA,2011,-79.603542,40.831361
37-005-30969,Snyder Bros Inc,Active,Vertical,NA,2012,-79.588119,40.869828
37-005-30978,Snyder Bros Inc,Active,Vertical,NA,2012,-79.557722,40.890325
37-005-31018,Snyder Bros Inc,Active,Vertical,NA,2012,-79.593592,40.861092
37-005-31114,Snyder Bros Inc,Active,Vertical,NA,2013,-79.516972,40.871094
37-005-31181,Snyder Bros Inc,Active,Vertical,NA,2014,-79.502486,40.888469
37-005-31186,Snyder Bros Inc,Active,Vertical,NA,2014,-79.585653,40.809783
37-005-31213,Snyder Bros Inc,Active,Horizontal,NA,2014,-79.5392,40.860744
37-005-31214,Snyder Bros Inc,Active,Horizontal,NA,2014,-79.539311,40.860675
37-005-31215,Snyder Bros Inc,Active,Horizontal,NA,2014,-79.539425,40.860606
37-005-30250,MDS Energy Dev LLC,Active,Vertical,NA,2009,-79.594746,40.680892
37-005-31024,MDS Energy Dev LLC,Active,Vertical,NA,2012,-79.575833,40.680822
37-005-31130,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.597825,40.677486
37-005-31173,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.590531,40.679592
37-005-30718,EQT Production Co,Active,Horizontal,NA,2011,-79.421111,40.722861
37-005-30719,EQT Production Co,Active,Horizontal,NA,2011,-79.421056,40.722889
37-005-30720,EQT Production Co,Active,Horizontal,NA,2011,-79.421139,40.722833
37-005-30811,EQT Production Co,Active,Horizontal,NA,2011,-79.421028,40.722917
37-005-30863,EQT Production Co,Active,Horizontal,NA,2011,-79.475689,40.717019
37-005-30864,EQT Production Co,Active,Horizontal,NA,2011,-79.475697,40.716981
37-005-30879,EQT Production Co,Active,Horizontal,NA,2011,-79.420975,40.722933
37-005-30989,EQT Production Co,Active,Horizontal,NA,2012,-79.475683,40.717064
37-005-31029,EQT Production Co,Active,Horizontal,NA,2012,-79.475708,40.716939
37-005-30855,Snyder Bros Inc,Active,Vertical,NA,2012,-79.429158,40.950067
37-005-30868,Snyder Bros Inc,Active,Vertical,NA,2011,-79.406622,40.978183
37-005-31094,Snyder Bros Inc,Active,Vertical,NA,2013,-79.413456,40.964331
37-005-30737,Snyder Bros Inc,Active,Vertical,NA,2011,-79.362439,40.941381
37-005-30856,Snyder Bros Inc,Active,Vertical,NA,2012,-79.385014,40.923478
37-005-29498,EXCO Resources PA LLC,Active,Vertical,NA,2008,-79.509748,40.752849
37-005-29610,MDS Energy Dev LLC,Active,Vertical,NA,2008,-79.50492,40.782821
37-005-30487,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.508111,40.746
37-005-30493,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.508239,40.745925
37-005-30503,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.51481,40.736975
37-005-30504,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.5148,40.737128
37-005-30536,BLX Inc,Active,Vertical,NA,2010,-79.491611,40.79141
37-005-30651,Snyder Bros Inc,Active,Vertical,NA,2010,-79.504275,40.787836
37-005-30685,MDS Energy Dev LLC,Active,Vertical,NA,2010,-79.490994,40.810711
37-005-30697,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.508111,40.746044
37-005-30713,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.515019,40.737117
37-005-30714,EXCO Resources PA LLC,Active,Horizontal,NA,2010,-79.514817,40.737075
37-005-30774,EXCO Resources PA LLC,Active,Horizontal,NA,2011,-79.508106,40.745881
37-005-30804,MDS Energy Dev LLC,Active,Vertical,NA,2011,-79.507983,40.772989
37-005-30808,EXCO Resources PA LLC,Active,Horizontal,NA,2011,-79.491278,40.762848
37-005-30878,MDS Energy Dev LLC,Active,Vertical,NA,2012,-79.513014,40.764533
37-005-31184,MDS Energy Dev LLC,Active,Vertical,NA,2014,-79.51,40.770372
37-005-29428,MDS Energy Dev LLC,Active,Vertical,NA,2007,-79.568856,40.774114
37-005-29506,XTO Energy Inc,Active,Vertical,NA,2008,-79.597804,40.79971
37-005-29722,Baker Gas Inc,Active,Vertical,NA,2008,-79.661267,40.80276
37-005-29932,Snyder Bros Inc,Active,Vertical,NA,2010,-79.552539,40.786725
37-005-30231,Snyder Bros Inc,Active,Vertical,NA,2009,-79.638956,40.800253
37-005-30572,MDS Energy Dev LLC,Active,Vertical,NA,2010,-79.614147,40.775439
37-005-30622,MDS Energy Dev LLC,Active,Vertical,NA,2010,-79.65215,40.787711
37-005-30624,Snyder Bros Inc,Active,Vertical,NA,2010,-79.673222,40.784186
37-005-30625,MDS Energy Dev LLC,Active,Vertical,NA,2010,-79.542775,40.779917
37-005-30724,Snyder Bros Inc,Active,Vertical,NA,2011,-79.600097,40.789647
37-005-30849,MDS Energy Dev LLC,Active,Vertical,NA,2011,-79.550142,40.804128
37-005-30859,MDS Energy Dev LLC,Active,Vertical,NA,2011,-79.596958,40.787647
37-005-30862,MDS Energy Dev LLC,Active,Vertical,NA,2011,-79.625458,40.771906
37-005-30876,MDS Energy Dev LLC,Active,Vertical,NA,2012,-79.556114,40.803517
37-005-30880,MDS Energy Dev LLC,Active,Vertical,NA,2011,-79.598861,40.779828
37-005-30881,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.561142,40.780206
37-005-30884,MDS Energy Dev LLC,Active,Vertical,NA,2012,-79.594275,40.78265
37-005-30885,MDS Energy Dev LLC,Active,Vertical,NA,2012,-79.626592,40.7788
37-005-30888,Snyder Bros Inc,Active,Vertical,NA,2012,-79.645578,40.786117
37-005-30889,Snyder Bros Inc,Active,Vertical,NA,2012,-79.633808,40.797089
37-005-30934,Snyder Bros Inc,Active,Vertical,NA,2012,-79.656464,40.802531
37-005-30984,MDS Energy Dev LLC,Active,Vertical,NA,2012,-79.661131,40.798886
37-005-31064,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.589331,40.7969
37-005-31067,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.591361,40.799797
37-005-31120,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.542133,40.792656
37-005-31123,MDS Energy Dev LLC,Active,Vertical,NA,2013,-79.619472,40.775361
37-005-31152,MDS Energy Dev LLC,Active,Vertical,NA,2014,-79.573575,40.779908
37-005-31153,MDS Energy Dev LLC,Active,Vertical,NA,2014,-79.586867,40.775378
37-005-31167,MDS Energy Dev LLC,Active,Vertical,NA,2014,-79.620933,40.781403
37-005-31190,MDS Energy Dev LLC,Active,Vertical,NA,2014,-79.538944,40.790783
37-005-31192,MDS Energy Dev LLC,Active,Vertical,NA,2014,-79.549481,40.788967
37-005-30201,EQT Production Co,Active,Horizontal,NA,2009,-79.409259,40.705878
37-005-30453,EQT Production Co,Active,Horizontal,NA,2010,-79.409228,40.70583
37-005-30588,EQT Production Co,Active,Horizontal,NA,2010,-79.381414,40.677947
37-005-30590,EQT Production Co,Active,Horizontal,NA,2010,-79.381553,40.677911
37-005-31108,EQT Production Co,Active,Horizontal,NA,2013,-79.366261,40.687417
37-005-31109,EQT Production Co,Active,Horizontal,NA,2013,-79.366286,40.687378
37-005-31110,EQT Production Co,Active,Horizontal,NA,2013,-79.366311,40.687342
37-005-31140,EQT Production Co,Active,Horizontal,NA,2014,-79.413567,40.722081
37-005-31142,EQT Production Co,Active,Horizontal,NA,2013,-79.413483,40.722131
